directory,functions,tested,tag
net/wimax,36,0,v3.0
net/wireless,555,2,v3.0
net/x25,125,0,v3.0
net/xfrm,366,0,v3.0
samples/hidraw,2,0,v3.0
samples/hw_breakpoint,3,0,v3.0
samples/kdb,3,0,v3.0
samples/kfifo,17,0,v3.0
samples/kobject,17,0,v3.0
samples/kprobes,12,0,v3.0
samples/trace_events,4,0,v3.0
samples/tracepoints,10,0,v3.0
scripts/basic,14,0,v3.0
scripts/dtc,201,0,v3.0
scripts/genksyms,27,1,v3.0
scripts/kconfig,332,0,v3.0
scripts/mod,127,0,v3.0
scripts/selinux,5,0,v3.0
security/apparmor,191,0,v3.0
security/integrity,64,0,v3.0
security/keys,202,0,v3.0
security/selinux,633,0,v3.0
security/smack,182,0,v3.0
security/tomoyo,217,0,v3.0
sound/aoa,206,0,v3.0
sound/arm,76,0,v3.0
sound/atmel,49,2,v3.0
sound/core,1273,0,v3.0
sound/drivers,602,0,v3.0
sound/firewire,104,0,v3.0
sound/i2c,210,0,v3.0
sound/isa,1145,0,v3.0
sound/mips,119,0,v3.0
sound/oss,985,0,v3.0
sound/parisc,41,0,v3.0
sound/pci,7534,0,v3.0
sound/pcmcia,86,0,v3.0
sound/ppc,232,0,v3.0
sound/sh,54,0,v3.0
sound/soc,3507,3,v3.0
sound/sparc,161,0,v3.0
sound/spi,32,0,v3.0
sound/synth,153,0,v3.0
sound/usb,593,0,v3.0
tools/firewire,20,0,v3.0
tools/perf,1523,26,v3.0
tools/power,43,2,v3.0
tools/slub,35,1,v3.0
tools/usb,27,4,v3.0
tools/virtio,9,1,v3.0
virt/kvm,231,0,v3.0
Documentation/arm/SH-Mobile,4,0,v3.0
Documentation/filesystems/configfs,36,0,v3.0
Documentation/networking/timestamping,6,0,v3.0
Documentation/virtual/lguest,55,0,v3.0
Documentation/watchdog/src,3,0,v3.0
arch/alpha/boot,25,2,v3.0
arch/alpha/kernel,824,7,v3.0
arch/alpha/lib,33,2,v3.0
arch/alpha/math-emu,4,0,v3.0
arch/alpha/mm,26,0,v3.0
arch/alpha/oprofile,28,0,v3.0
arch/arm/boot,14,2,v3.0
arch/arm/common,250,0,v3.0
arch/arm/kernel,717,2,v3.0
arch/arm/lib,5,0,v3.0
arch/arm/mach-at91,523,0,v3.0
arch/arm/mach-bcmring,123,1,v3.0
arch/arm/mach-clps711x,23,0,v3.0
arch/arm/mach-cns3xxx,35,0,v3.0
arch/arm/mach-davinci,363,0,v3.0
arch/arm/mach-dove,51,0,v3.0
arch/arm/mach-ebsa110,35,0,v3.0
arch/arm/mach-ep93xx,102,0,v3.0
arch/arm/mach-exynos4,162,0,v3.0
arch/arm/mach-footbridge,86,0,v3.0
arch/arm/mach-gemini,26,0,v3.0
arch/arm/mach-h720x,26,0,v3.0
arch/arm/mach-imx,449,0,v3.0
arch/arm/mach-integrator,74,0,v3.0
arch/arm/mach-iop13xx,81,0,v3.0
arch/arm/mach-iop32x,40,0,v3.0
arch/arm/mach-iop33x,19,0,v3.0
arch/arm/mach-ixp2000,83,0,v3.0
arch/arm/mach-ixp23xx,43,0,v3.0
arch/arm/mach-ixp4xx,146,0,v3.0
arch/arm/mach-kirkwood,82,0,v3.0
arch/arm/mach-ks8695,58,0,v3.0
arch/arm/mach-loki,14,0,v3.0
arch/arm/mach-lpc32xx,90,0,v3.0
arch/arm/mach-mmp,50,0,v3.0
arch/arm/mach-msm,324,0,v3.0
arch/arm/mach-mv78xx0,51,0,v3.0
arch/arm/mach-mx5,129,0,v3.0
arch/arm/mach-mxs,105,0,v3.0
arch/arm/mach-netx,40,0,v3.0
arch/arm/mach-nomadik,15,0,v3.0
arch/arm/mach-nuc93x,22,0,v3.0
arch/arm/mach-omap1,296,0,v3.0
arch/arm/mach-omap2,1196,0,v3.0
arch/arm/mach-orion5x,161,0,v3.0
arch/arm/mach-pnx4008,89,0,v3.0
arch/arm/mach-pxa,879,0,v3.0
arch/arm/mach-realview,52,0,v3.0
arch/arm/mach-rpc,25,0,v3.0
arch/arm/mach-s3c2400,1,0,v3.0
arch/arm/mach-s3c2410,96,0,v3.0
arch/arm/mach-s3c2412,72,0,v3.0
arch/arm/mach-s3c2416,41,0,v3.0
arch/arm/mach-s3c2440,116,0,v3.0
arch/arm/mach-s3c2443,41,0,v3.0
arch/arm/mach-s3c64xx,142,0,v3.0
arch/arm/mach-s5p64x0,55,0,v3.0
arch/arm/mach-s5pc100,48,0,v3.0
arch/arm/mach-s5pv210,81,0,v3.0
arch/arm/mach-sa1100,194,0,v3.0
arch/arm/mach-shark,17,0,v3.0
arch/arm/mach-shmobile,150,0,v3.0
arch/arm/mach-spear3xx,11,0,v3.0
arch/arm/mach-spear6xx,7,0,v3.0
arch/arm/mach-tcc8k,47,0,v3.0
arch/arm/mach-tegra,317,1,v3.0
arch/arm/mach-u300,70,0,v3.0
