directory,functions,tested,tag
drivers/net/ethernet/intel/i40evf,211,0,v4.11
drivers/net/ethernet/intel/igb,517,0,v4.11
drivers/net/ethernet/intel/igbvf,131,0,v4.11
drivers/net/ethernet/intel/ixgb,121,0,v4.11
drivers/net/ethernet/intel/ixgbe,856,0,v4.11
drivers/net/ethernet/intel/ixgbevf,196,0,v4.11
drivers/net/ethernet/mellanox/mlx4,1016,11,v4.11
drivers/net/ethernet/mellanox/mlx5,1237,10,v4.11
drivers/net/ethernet/mellanox/mlxsw,921,0,v4.11
drivers/net/ethernet/myricom/myri10ge,81,0,v4.11
drivers/net/ethernet/neterion/vxge,277,0,v4.11
drivers/net/ethernet/netronome/nfp,500,0,v4.11
drivers/net/ethernet/oki-semi/pch_gbe,123,0,v4.11
drivers/net/ethernet/qlogic/netxen,273,0,v4.11
drivers/net/ethernet/qlogic/qed,1107,8,v4.11
drivers/net/ethernet/qlogic/qede,256,0,v4.11
drivers/net/ethernet/qlogic/qlcnic,882,0,v4.11
drivers/net/ethernet/qlogic/qlge,243,0,v4.11
drivers/net/ethernet/qualcomm/emac,96,0,v4.11
drivers/net/ethernet/samsung/sxgbe,199,0,v4.11
drivers/net/ethernet/sfc/falcon,501,20,v4.11
drivers/net/ethernet/stmicro/stmmac,395,0,v4.11
drivers/net/wireless/ath/ar5523,59,0,v4.11
drivers/net/wireless/ath/ath10k,1028,1,v4.11
drivers/net/wireless/ath/ath5k,329,0,v4.11
drivers/net/wireless/ath/ath6kl,650,0,v4.11
drivers/net/wireless/ath/ath9k,1384,0,v4.11
drivers/net/wireless/ath/carl9170,223,0,v4.11
drivers/net/wireless/ath/wcn36xx,136,0,v4.11
drivers/net/wireless/ath/wil6210,390,0,v4.11
drivers/net/wireless/broadcom/b43,836,0,v4.11
drivers/net/wireless/broadcom/b43legacy,336,0,v4.11
drivers/net/wireless/broadcom/brcm80211,1665,0,v4.11
drivers/net/wireless/intel/ipw2x00,603,0,v4.11
drivers/net/wireless/intel/iwlegacy,638,0,v4.11
drivers/net/wireless/intel/iwlwifi,1578,0,v4.11
drivers/net/wireless/intersil/hostap,390,0,v4.11
drivers/net/wireless/intersil/orinoco,250,0,v4.11
drivers/net/wireless/intersil/p54,154,0,v4.11
drivers/net/wireless/intersil/prism54,132,0,v4.11
drivers/net/wireless/marvell/libertas,336,0,v4.11
drivers/net/wireless/marvell/libertas_tf,69,0,v4.11
drivers/net/wireless/marvell/mwifiex,752,0,v4.11
drivers/net/wireless/mediatek/mt7601u,210,0,v4.11
drivers/net/wireless/ralink/rt2x00,710,0,v4.11
drivers/net/wireless/realtek/rtl818x,140,0,v4.11
drivers/net/wireless/realtek/rtl8xxxu,168,0,v4.11
drivers/net/wireless/realtek/rtlwifi,2440,0,v4.11
drivers/net/wireless/st/cw1200,286,0,v4.11
drivers/net/wireless/ti/wl1251,188,0,v4.11
drivers/net/wireless/ti/wl12xx,65,0,v4.11
drivers/net/wireless/ti/wl18xx,86,0,v4.11
drivers/net/wireless/ti/wlcore,457,3,v4.11
drivers/net/wireless/zydas/zd1211rw,235,2,v4.11
drivers/staging/android/ion/hisilicon,3,0,v4.11
drivers/staging/android/ion/tegra,2,0,v4.11
drivers/staging/greybus/Documentation/firmware,5,0,v4.11
drivers/staging/lustre/lnet/klnds,276,0,v4.11
drivers/staging/lustre/lnet/libcfs,310,6,v4.11
drivers/staging/lustre/lnet/lnet,358,1,v4.11
drivers/staging/lustre/lnet/selftest,232,56,v4.11
drivers/staging/lustre/lustre/fid,22,0,v4.11
drivers/staging/lustre/lustre/fld,35,0,v4.11
drivers/staging/lustre/lustre/ldlm,278,0,v4.11
drivers/staging/lustre/lustre/llite,502,0,v4.11
drivers/staging/lustre/lustre/lmv,80,0,v4.11
drivers/staging/lustre/lustre/lov,242,0,v4.11
drivers/staging/lustre/lustre/mdc,119,0,v4.11
drivers/staging/lustre/lustre/mgc,39,0,v4.11
drivers/staging/lustre/lustre/obdclass,521,0,v4.11
drivers/staging/lustre/lustre/obdecho,61,0,v4.11
drivers/staging/lustre/lustre/osc,310,0,v4.11
drivers/staging/lustre/lustre/ptlrpc,702,0,v4.11
drivers/staging/media/platform/bcm2835,105,0,v4.11
drivers/staging/vc04_services/interface/vchiq_arm,226,0,v4.11
drivers/usb/gadget/udc/bdc,98,0,v4.11
drivers/video/fbdev/mmp/fb,19,0,v4.11
drivers/video/fbdev/mmp/hw,21,0,v4.11
drivers/video/fbdev/mmp/panel,3,0,v4.11
drivers/video/fbdev/omap2/omapfb,1284,0,v4.11
sound/soc/intel/atom/sst,116,0,v4.11
tools/build/tests/ex/arch,2,2,v4.11
tools/objtool/arch/x86/insn,18,2,v4.11
tools/perf/arch/arm/annotate,2,0,v4.11
tools/perf/arch/arm/tests,2,1,v4.11
tools/perf/arch/arm/util,21,0,v4.11
tools/perf/arch/arm64/annotate,2,0,v4.11
tools/perf/arch/arm64/tests,2,1,v4.11
tools/perf/arch/arm64/util,3,0,v4.11
tools/perf/arch/powerpc/annotate,2,0,v4.11
tools/perf/arch/powerpc/tests,2,1,v4.11
tools/perf/arch/powerpc/util,26,0,v4.11
tools/perf/arch/s390/util,8,0,v4.11
tools/perf/arch/sh/util,1,0,v4.11
tools/perf/arch/sparc/util,1,0,v4.11
tools/perf/arch/x86/tests,17,10,v4.11
tools/perf/arch/x86/util,75,2,v4.11
tools/perf/arch/xtensa/util,1,0,v4.11
tools/perf/scripts/python/Perf-Trace-Util,4,0,v4.11
tools/power/acpi/os_specific/service_layers,67,2,v4.11
tools/power/acpi/tools/acpidbg,13,0,v4.11
tools/power/acpi/tools/acpidump,15,0,v4.11
tools/power/acpi/tools/ec,6,0,v4.11
tools/power/cpupower/debug/i386,13,0,v4.11
tools/power/cpupower/debug/kernel,3,1,v4.11
tools/power/cpupower/utils/helpers,51,0,v4.11
tools/power/cpupower/utils/idle_monitor,56,1,v4.11
tools/testing/selftests/futex/functional,26,7,v4.11
tools/testing/selftests/networking/timestamping,24,4,v4.11
tools/testing/selftests/powerpc/alignment,10,1,v4.11
tools/testing/selftests/powerpc/benchmarks,27,2,v4.11
tools/testing/selftests/powerpc/context_switch,4,2,v4.11
tools/testing/selftests/powerpc/copyloops,3,1,v4.11
tools/testing/selftests/powerpc/dscr,21,1,v4.11
tools/testing/selftests/powerpc/math,24,7,v4.11
tools/testing/selftests/powerpc/mm,13,7,v4.11
tools/testing/selftests/powerpc/pmu,148,31,v4.11
tools/testing/selftests/powerpc/primitives,8,5,v4.11
tools/testing/selftests/powerpc/ptrace,50,1,v4.11
tools/testing/selftests/powerpc/signal,6,2,v4.11
tools/testing/selftests/powerpc/stringloops,3,2,v4.11
tools/testing/selftests/powerpc/syscalls,2,0,v4.11
tools/testing/selftests/powerpc/tm,37,3,v4.11
tools/testing/selftests/powerpc/vphn,3,1,v4.11
tools/testing/selftests/rcutorture/formal,8,2,v4.11
tools/usb/ffs-aio-example/multibuff/device_app,5,0,v4.11
tools/usb/ffs-aio-example/multibuff/host_app,3,0,v4.11
tools/usb/ffs-aio-example/simple/device_app,3,0,v4.11
tools/usb/ffs-aio-example/simple/host_app,3,0,v4.11
drivers/gpu/drm/amd/powerplay/eventmgr,96,0,v4.11
drivers/gpu/drm/amd/powerplay/hwmgr,450,0,v4.11
drivers/gpu/drm/amd/powerplay/smumgr,345,0,v4.11
drivers/gpu/drm/msm/dsi/phy,40,0,v4.11
drivers/gpu/drm/msm/dsi/pll,67,0,v4.11
drivers/gpu/drm/msm/mdp/mdp4,101,0,v4.11
drivers/gpu/drm/msm/mdp/mdp5,191,0,v4.11
drivers/gpu/drm/nouveau/nvkm/core,139,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine,954,0,v4.11
drivers/gpu/drm/nouveau/nvkm/falcon,27,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev,1500,1,v4.11
drivers/net/ethernet/aquantia/atlantic/hw_atl,245,0,v4.11
drivers/net/ethernet/mellanox/mlx5/core,1237,10,v4.11
drivers/net/ethernet/netronome/nfp/nfpcore,200,0,v4.11
drivers/net/wireless/broadcom/brcm80211/brcmfmac,780,0,v4.11
drivers/net/wireless/broadcom/brcm80211/brcmsmac,860,0,v4.11
drivers/net/wireless/broadcom/brcm80211/brcmutil,25,0,v4.11
drivers/net/wireless/intel/iwlwifi/dvm,453,0,v4.11
drivers/net/wireless/intel/iwlwifi/mvm,820,0,v4.11
drivers/net/wireless/intel/iwlwifi/pcie,182,0,v4.11
drivers/net/wireless/realtek/rtl818x/rtl8180,79,0,v4.11
drivers/net/wireless/realtek/rtl818x/rtl8187,61,0,v4.11
drivers/net/wireless/realtek/rtlwifi/btcoexist,425,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8188ee,197,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8192c,102,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8192ce,88,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8192cu,137,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8192de,193,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8192ee,202,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8192se,132,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8723ae,205,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8723be,177,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8723com,27,0,v4.11
drivers/net/wireless/realtek/rtlwifi/rtl8821ae,272,0,v4.11
drivers/staging/lustre/lnet/klnds/o2iblnd,141,0,v4.11
drivers/staging/lustre/lnet/klnds/socklnd,135,0,v4.11
drivers/staging/lustre/lnet/libcfs/linux,88,2,v4.11
drivers/staging/lustre/lustre/obdclass/linux,24,0,v4.11
drivers/video/fbdev/omap2/omapfb/displays,241,0,v4.11
drivers/video/fbdev/omap2/omapfb/dss,930,0,v4.11
tools/testing/selftests/powerpc/pmu/ebb,111,20,v4.11
tools/testing/selftests/rcutorture/formal/srcu-cbmc,8,2,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/bsp,1,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/ce,13,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/cipher,5,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/device,54,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/disp,239,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/dma,22,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/fifo,178,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/gr,298,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/mpeg,25,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/mspdec,7,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/msppp,6,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/msvld,8,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/pm,48,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/sec,2,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/sw,31,0,v4.11
drivers/gpu/drm/nouveau/nvkm/engine/vp,1,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/bar,26,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/bios,276,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/bus,27,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/clk,167,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/devinit,58,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/fb,173,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/fuse,9,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/gpio,36,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/i2c,118,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/ibus,19,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/iccsense,16,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/instmem,82,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/ltc,42,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/mc,44,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/mmu,58,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/mxm,21,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/pci,71,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/pmu,53,1,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/secboot,43,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/therm,96,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/timer,21,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/top,12,0,v4.11
drivers/gpu/drm/nouveau/nvkm/subdev/volt,32,0,v4.11
drivers/net/wireless/broadcom/brcm80211/brcmsmac/phy,376,0,v4.11
tools/testing/selftests/rcutorture/formal/srcu-cbmc/src,4,2,v4.11
tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests,4,0,v4.11
tools/testing/selftests/rcutorture/formal/srcu-cbmc/tests/store_buffering,4,0,v4.11
,442749,2966,v4.12
Documentation,9,0,v4.12
arch,48128,392,v4.12
block,1841,1,v4.12
certs,12,0,v4.12
crypto,1821,63,v4.12
drivers,286916,980,v4.12
firmware,7,0,v4.12
fs,25409,129,v4.12
init,109,3,v4.12
ipc,232,0,v4.12
kernel,9117,132,v4.12
lib,2030,308,v4.12
mm,3894,40,v4.12
net,27541,43,v4.12
samples,547,27,v4.12
scripts,1089,13,v4.12
security,2249,0,v4.12
sound,22632,7,v4.12
tools,8347,828,v4.12
usr,19,0,v4.12
virt,800,0,v4.12
Documentation/scheduler,5,0,v4.12
Documentation/usb,4,0,v4.12
arch/alpha,925,18,v4.12
arch/arc,356,4,v4.12
arch/arm,8038,49,v4.12
arch/arm64,1276,2,v4.12
arch/blackfin,727,6,v4.12
arch/c6x,176,3,v4.12
arch/cris,510,12,v4.12
arch/frv,275,7,v4.12
arch/h8300,95,4,v4.12
arch/hexagon,149,4,v4.12
arch/ia64,1467,12,v4.12
arch/m32r,484,8,v4.12
arch/m68k,885,5,v4.12
arch/metag,341,6,v4.12
arch/microblaze,245,7,v4.12
arch/mips,5494,17,v4.12
arch/mn10300,432,8,v4.12
arch/nios2,190,10,v4.12
arch/openrisc,110,3,v4.12
arch/parisc,593,14,v4.12
arch/powerpc,8324,34,v4.12
arch/s390,2102,18,v4.12
arch/score,118,0,v4.12
arch/sh,1615,15,v4.12
arch/sparc,2168,8,v4.12
arch/tile,774,16,v4.12
arch/um,822,8,v4.12
arch/unicore32,240,5,v4.12
arch/x86,8832,85,v4.12
arch/xtensa,365,4,v4.12
block/partitions,97,0,v4.12
crypto/asymmetric_keys,104,0,v4.12
crypto/async_tx,34,7,v4.12
drivers/accessibility,9,0,v4.12
drivers/acpi,2605,28,v4.12
drivers/amba,41,0,v4.12
drivers/android,82,0,v4.12
drivers/ata,2087,0,v4.12
drivers/atm,719,2,v4.12
drivers/auxdisplay,147,0,v4.12
drivers/base,1505,26,v4.12
drivers/bcma,230,0,v4.12
drivers/block,3047,9,v4.12
drivers/bluetooth,579,0,v4.12
drivers/bus,280,0,v4.12
drivers/cdrom,148,0,v4.12
drivers/char,2433,10,v4.12
drivers/clk,3698,0,v4.12
drivers/clocksource,873,1,v4.12
drivers/connector,30,3,v4.12
drivers/cpufreq,1011,2,v4.12
drivers/cpuidle,171,0,v4.12
drivers/crypto,3102,0,v4.12
drivers/dax,61,0,v4.12
drivers/dca,27,0,v4.12
drivers/devfreq,162,0,v4.12
drivers/dio,16,0,v4.12
drivers/dma,2714,22,v4.12
drivers/dma-buf,116,0,v4.12
drivers/edac,1141,0,v4.12
drivers/eisa,21,0,v4.12
drivers/extcon,212,0,v4.12
drivers/firewire,435,0,v4.12
drivers/firmware,857,12,v4.12
drivers/fmc,75,0,v4.12
drivers/fpga,156,0,v4.12
drivers/fsi,3,0,v4.12
drivers/gpio,1912,0,v4.12
drivers/gpu,28215,122,v4.12
drivers/hid,1741,1,v4.12
drivers/hsi,254,0,v4.12
drivers/hv,249,0,v4.12
drivers/hwmon,3535,1,v4.12
drivers/hwspinlock,38,0,v4.12
drivers/hwtracing,593,0,v4.12
drivers/i2c,1978,7,v4.12
drivers/ide,1142,0,v4.12
drivers/idle,16,0,v4.12
drivers/iio,3679,0,v4.12
drivers/infiniband,8181,8,v4.12
drivers/input,4648,1,v4.12
drivers/iommu,1460,0,v4.12
drivers/ipack,78,0,v4.12
drivers/irqchip,1033,0,v4.12
drivers/isdn,4061,6,v4.12
drivers/leds,809,0,v4.12
drivers/lguest,114,5,v4.12
drivers/lightnvm,333,0,v4.12
drivers/macintosh,620,0,v4.12
drivers/mailbox,281,9,v4.12
drivers/mcb,45,0,v4.12
drivers/md,3758,12,v4.12
drivers/media,22716,15,v4.12
drivers/memory,250,0,v4.12
drivers/memstick,244,0,v4.12
drivers/message,383,0,v4.12
drivers/mfd,2284,0,v4.12
drivers/misc,3289,12,v4.12
drivers/mmc,2449,74,v4.12
drivers/mtd,3576,63,v4.12
drivers/net,59629,114,v4.12
drivers/nfc,651,0,v4.12
drivers/ntb,273,0,v4.12
drivers/nubus,46,0,v4.12
drivers/nvdimm,423,4,v4.12
drivers/nvme,829,0,v4.12
drivers/nvmem,109,0,v4.12
drivers/of,394,78,v4.12
drivers/oprofile,135,0,v4.12
drivers/parisc,252,0,v4.12
drivers/parport,327,0,v4.12
drivers/pci,2712,32,v4.12
drivers/pcmcia,708,2,v4.12
drivers/perf,171,0,v4.12
drivers/phy,720,0,v4.12
drivers/pinctrl,2455,1,v4.12
drivers/platform,2061,0,v4.12
drivers/pnp,291,0,v4.12
drivers/power,1678,3,v4.12
drivers/powercap,59,0,v4.12
drivers/pps,52,0,v4.12
drivers/ps3,171,0,v4.12
drivers/ptp,79,0,v4.12
drivers/pwm,535,0,v4.12
drivers/rapidio,374,0,v4.12
drivers/ras,26,0,v4.12
drivers/regulator,1323,0,v4.12
drivers/remoteproc,183,0,v4.12
drivers/reset,111,0,v4.12
drivers/rpmsg,113,0,v4.12
drivers/rtc,1953,10,v4.12
drivers/s390,3603,2,v4.12
drivers/sbus,129,0,v4.12
drivers/scsi,16489,6,v4.12
drivers/sfi,27,0,v4.12
drivers/sh,175,0,v4.12
drivers/sn,34,0,v4.12
drivers/soc,827,27,v4.12
drivers/spi,1854,16,v4.12
drivers/spmi,68,0,v4.12
drivers/ssb,330,0,v4.12
drivers/staging,20214,93,v4.12
drivers/target,1614,0,v4.12
drivers/tc,7,0,v4.12
drivers/tee,98,0,v4.12
drivers/thermal,721,0,v4.12
drivers/thunderbolt,124,0,v4.12
drivers/tty,6109,24,v4.12
drivers/uio,103,4,v4.12
drivers/usb,11020,66,v4.12
drivers/uwb,362,0,v4.12
drivers/vfio,399,0,v4.12
drivers/vhost,301,28,v4.12
drivers/video,7207,10,v4.12
drivers/virt,23,0,v4.12
drivers/virtio,187,9,v4.12
drivers/vlynq,31,0,v4.12
drivers/vme,170,0,v4.12
drivers/w1,295,0,v4.12
drivers/watchdog,1806,0,v4.12
drivers/xen,960,0,v4.12
drivers/zorro,29,0,v4.12
fs/9p,163,0,v4.12
fs/adfs,68,0,v4.12
fs/affs,98,0,v4.12
fs/afs,292,0,v4.12
fs/autofs4,93,0,v4.12
fs/befs,57,0,v4.12
fs/bfs,34,0,v4.12
fs/btrfs,2344,94,v4.12
fs/cachefiles,77,0,v4.12
fs/ceph,473,0,v4.12
fs/cifs,847,0,v4.12
fs/coda,98,0,v4.12
fs/configfs,111,0,v4.12
fs/cramfs,17,0,v4.12
fs/crypto,42,0,v4.12
fs/debugfs,79,5,v4.12
fs/devpts,18,0,v4.12
fs/dlm,532,0,v4.12
fs/ecryptfs,212,0,v4.12
fs/efivarfs,20,0,v4.12
fs/efs,31,0,v4.12
fs/exofs,168,0,v4.12
fs/exportfs,12,0,v4.12
fs/ext2,194,0,v4.12
fs/ext4,910,0,v4.12
fs/f2fs,631,0,v4.12
fs/fat,220,2,v4.12
fs/freevxfs,42,0,v4.12
fs/fscache,119,0,v4.12
fs/fuse,354,0,v4.12
fs/gfs2,713,0,v4.12
fs/hfs,130,0,v4.12
fs/hfsplus,196,0,v4.12
fs/hostfs,65,0,v4.12
fs/hpfs,151,0,v4.12
fs/hugetlbfs,42,0,v4.12
fs/isofs,67,0,v4.12
fs/jbd2,192,2,v4.12
fs/jffs2,344,0,v4.12
fs/jfs,346,0,v4.12
fs/kernfs,116,0,v4.12
fs/lockd,303,0,v4.12
fs/minix,94,3,v4.12
fs/ncpfs,179,0,v4.12
fs/nfs,2358,0,v4.12
fs/nfs_common,15,0,v4.12
fs/nfsd,1152,1,v4.12
fs/nilfs2,664,0,v4.12
fs/nls,223,0,v4.12
fs/notify,119,1,v4.12
fs/ntfs,187,0,v4.12
fs/ocfs2,2043,0,v4.12
fs/omfs,54,0,v4.12
fs/openpromfs,19,0,v4.12
fs/orangefs,178,0,v4.12
fs/overlayfs,165,0,v4.12
fs/proc,511,1,v4.12
fs/pstore,110,0,v4.12
fs/qnx4,25,0,v4.12
fs/qnx6,39,0,v4.12
fs/quota,203,0,v4.12
fs/ramfs,17,0,v4.12
fs/reiserfs,622,0,v4.12
fs/romfs,28,0,v4.12
fs/squashfs,103,0,v4.12
fs/sysfs,51,0,v4.12
fs/sysv,93,1,v4.12
fs/tracefs,24,0,v4.12
fs/ubifs,628,0,v4.12
fs/udf,182,0,v4.12
fs/ufs,124,0,v4.12
fs/xfs,2153,0,v4.12
kernel/bpf,330,2,v4.12
kernel/cgroup,351,0,v4.12
kernel/configs,3,0,v4.12
kernel/debug,186,0,v4.12
kernel/events,539,0,v4.12
kernel/gcov,88,0,v4.12
kernel/irq,358,0,v4.12
kernel/livepatch,55,0,v4.12
kernel/locking,500,20,v4.12
kernel/power,308,4,v4.12
kernel/printk,112,1,v4.12
kernel/rcu,415,0,v4.12
kernel/sched,1071,12,v4.12
kernel/time,698,12,v4.12
kernel/trace,1749,40,v4.12
lib/842,23,0,v4.12
lib/fonts,2,0,v4.12
lib/lz4,44,0,v4.12
lib/lzo,3,0,v4.12
lib/mpi,34,0,v4.12
lib/raid6,53,4,v4.12
lib/reed_solomon,9,0,v4.12
lib/xz,64,8,v4.12
lib/zlib_deflate,31,0,v4.12
lib/zlib_inflate,13,0,v4.12
mm/kasan,107,5,v4.12
net/6lowpan,82,0,v4.12
net/802,86,0,v4.12
net/8021q,107,0,v4.12
net/9p,157,0,v4.12
net/appletalk,97,0,v4.12
net/atm,354,0,v4.12
net/ax25,163,0,v4.12
net/batman-adv,750,0,v4.12
net/bluetooth,1588,7,v4.12
net/bpf,6,4,v4.12
net/bridge,759,3,v4.12
net/caif,189,1,v4.12
net/can,129,0,v4.12
net/ceph,619,2,v4.12
net/core,1662,9,v4.12
net/dcb,49,0,v4.12
net/dccp,331,0,v4.12
net/decnet,306,0,v4.12
net/dns_resolver,9,0,v4.12
net/dsa,174,0,v4.12
net/ethernet,21,1,v4.12
net/hsr,65,0,v4.12
net/ieee802154,265,0,v4.12
net/ife,5,0,v4.12
net/ipv4,2637,5,v4.12
net/ipv6,1898,0,v4.12
net/ipx,84,0,v4.12
net/irda,657,1,v4.12
net/iucv,121,0,v4.12
net/kcm,71,0,v4.12
net/key,111,0,v4.12
net/l2tp,162,0,v4.12
net/l3mdev,6,0,v4.12
net/lapb,52,0,v4.12
net/llc,314,0,v4.12
net/mac80211,1322,0,v4.12
net/mac802154,136,0,v4.12
net/mpls,72,0,v4.12
net/ncsi,83,0,v4.12
net/netfilter,2933,3,v4.12
net/netlabel,144,0,v4.12
net/netlink,143,0,v4.12
net/netrom,115,1,v4.12
net/nfc,594,0,v4.12
net/openvswitch,354,1,v4.12
net/packet,145,0,v4.12
net/phonet,148,0,v4.12
net/psample,11,0,v4.12
net/qrtr,35,0,v4.12
net/rds,376,0,v4.12
net/rfkill,79,0,v4.12
net/rose,134,0,v4.12
net/rxrpc,255,0,v4.12
net/sched,1391,2,v4.12
net/sctp,852,0,v4.12
net/smc,196,0,v4.12
net/strparser,19,0,v4.12
net/sunrpc,1483,0,v4.12
net/switchdev,44,0,v4.12
net/tipc,504,2,v4.12
net/unix,114,0,v4.12
net/vmw_vsock,281,0,v4.12
net/wimax,36,0,v4.12
net/wireless,812,0,v4.12
net/x25,125,0,v4.12
net/xfrm,408,0,v4.12
samples/auxdisplay,12,0,v4.12
samples/blackfin,3,0,v4.12
samples/bpf,291,23,v4.12
samples/configfs,17,0,v4.12
samples/connector,7,2,v4.12
samples/hidraw,2,0,v4.12
samples/hw_breakpoint,3,0,v4.12
samples/kdb,3,0,v4.12
samples/kfifo,17,0,v4.12
samples/kobject,17,0,v4.12
samples/kprobes,12,0,v4.12
samples/livepatch,3,0,v4.12
samples/mei,11,0,v4.12
samples/mic,49,1,v4.12
samples/rpmsg,3,0,v4.12
samples/seccomp,10,0,v4.12
samples/statx,4,0,v4.12
samples/timers,6,0,v4.12
samples/trace_events,8,0,v4.12
samples/trace_printk,3,0,v4.12
samples/uhid,8,1,v4.12
samples/v4l,28,0,v4.12
samples/vfio-mdev,29,0,v4.12
samples/watchdog,1,0,v4.12
scripts/basic,15,0,v4.12
scripts/dtc,295,1,v4.12
scripts/gcc-plugins,30,1,v4.12
scripts/genksyms,27,1,v4.12
scripts/kconfig,349,1,v4.12
scripts/mod,153,1,v4.12
scripts/selinux,5,0,v4.12
security/apparmor,264,0,v4.12
security/integrity,192,0,v4.12
security/keys,252,0,v4.12
security/loadpin,5,0,v4.12
security/selinux,689,0,v4.12
security/smack,253,0,v4.12
security/tomoyo,293,0,v4.12
security/yama,14,0,v4.12
sound/aoa,196,0,v4.12
sound/arm,71,0,v4.12
sound/atmel,48,2,v4.12
sound/core,1403,0,v4.12
sound/drivers,596,0,v4.12
sound/firewire,847,0,v4.12
sound/hda,234,0,v4.12
sound/i2c,193,0,v4.12
sound/isa,1127,0,v4.12
sound/mips,91,0,v4.12
sound/oss,909,0,v4.12
sound/parisc,41,0,v4.12
sound/pci,7536,0,v4.12
sound/pcmcia,82,0,v4.12
sound/ppc,232,0,v4.12
sound/sh,52,0,v4.12
sound/soc,7602,5,v4.12
sound/sparc,157,0,v4.12
sound/spi,30,0,v4.12
sound/synth,155,0,v4.12
sound/usb,944,0,v4.12
sound/x86,60,0,v4.12
tools/accounting,9,0,v4.12
tools/build,60,6,v4.12
tools/cgroup,1,0,v4.12
tools/firewire,20,1,v4.12
tools/gpio,18,2,v4.12
tools/hv,37,1,v4.12
tools/iio,38,2,v4.12
tools/laptop,16,0,v4.12
tools/leds,2,0,v4.12
tools/lguest,79,2,v4.12
tools/lib,639,30,v4.12
tools/net,58,1,v4.12
tools/objtool,70,3,v4.12
tools/pci,2,1,v4.12
tools/pcmcia,2,1,v4.12
tools/perf,4840,318,v4.12
tools/power,462,7,v4.12
tools/spi,15,1,v4.12
tools/testing,1568,427,v4.12
tools/thermal,50,1,v4.12
tools/usb,157,5,v4.12
tools/virtio,114,18,v4.12
tools/vm,90,1,v4.12
virt/kvm,794,0,v4.12
virt/lib,6,0,v4.12
arch/alpha/boot,30,5,v4.12
arch/alpha/kernel,813,11,v4.12
arch/alpha/lib,33,2,v4.12
arch/alpha/math-emu,4,0,v4.12
arch/alpha/mm,17,0,v4.12
arch/alpha/oprofile,28,0,v4.12
arch/arc/kernel,217,2,v4.12
arch/arc/mm,114,2,v4.12
arch/arc/oprofile,2,0,v4.12
arch/arc/plat-axs10x,10,0,v4.12
arch/arc/plat-eznps,13,0,v4.12
arch/arm/boot,26,9,v4.12
