directory,non_static,tested,tag
arch/arm/mach-ep93xx,32,0,v3.0
arch/arm/mach-exynos4,46,0,v3.0
arch/arm/mach-footbridge,16,0,v3.0
arch/arm/mach-gemini,7,0,v3.0
arch/arm/mach-h720x,8,0,v3.0
arch/arm/mach-imx,62,0,v3.0
arch/arm/mach-integrator,11,0,v3.0
arch/arm/mach-iop13xx,24,0,v3.0
arch/arm/mach-iop32x,8,0,v3.0
arch/arm/mach-iop33x,1,0,v3.0
arch/arm/mach-ixp2000,32,0,v3.0
arch/arm/mach-ixp23xx,12,0,v3.0
arch/arm/mach-ixp4xx,51,0,v3.0
arch/arm/mach-kirkwood,28,0,v3.0
arch/arm/mach-ks8695,11,0,v3.0
arch/arm/mach-loki,11,0,v3.0
arch/arm/mach-lpc32xx,18,0,v3.0
arch/arm/mach-mmp,14,0,v3.0
arch/arm/mach-msm,98,0,v3.0
arch/arm/mach-mv78xx0,24,0,v3.0
arch/arm/mach-mx5,25,0,v3.0
arch/arm/mach-mxs,36,0,v3.0
arch/arm/mach-netx,21,0,v3.0
arch/arm/mach-nomadik,7,0,v3.0
arch/arm/mach-nuc93x,13,0,v3.0
arch/arm/mach-omap1,83,0,v3.0
arch/arm/mach-omap2,426,0,v3.0
arch/arm/mach-orion5x,38,0,v3.0
arch/arm/mach-pnx4008,37,0,v3.0
arch/arm/mach-pxa,120,0,v3.0
arch/arm/mach-realview,12,0,v3.0
arch/arm/mach-rpc,1,0,v3.0
arch/arm/mach-s3c2400,1,0,v3.0
arch/arm/mach-s3c2410,14,0,v3.0
arch/arm/mach-s3c2412,7,0,v3.0
arch/arm/mach-s3c2416,10,0,v3.0
arch/arm/mach-s3c2440,15,0,v3.0
arch/arm/mach-s3c2443,5,0,v3.0
arch/arm/mach-s3c64xx,40,0,v3.0
arch/arm/mach-s5p64x0,33,0,v3.0
arch/arm/mach-s5pc100,18,0,v3.0
arch/arm/mach-s5pv210,23,0,v3.0
arch/arm/mach-sa1100,55,0,v3.0
arch/arm/mach-shark,4,0,v3.0
arch/arm/mach-shmobile,39,0,v3.0
arch/arm/mach-spear3xx,7,0,v3.0
arch/arm/mach-spear6xx,5,0,v3.0
arch/arm/mach-tcc8k,4,0,v3.0
arch/arm/mach-tegra,104,0,v3.0
arch/arm/mach-u300,22,0,v3.0
arch/arm/mach-ux500,39,0,v3.0
arch/arm/mach-versatile,8,0,v3.0
arch/arm/mach-vexpress,7,0,v3.0
arch/arm/mach-vt8500,16,0,v3.0
arch/arm/mach-w90x900,24,0,v3.0
arch/arm/mm,107,0,v3.0
arch/arm/nwfpe,84,0,v3.0
arch/arm/oprofile,3,0,v3.0
arch/arm/plat-iop,17,0,v3.0
arch/arm/plat-mxc,68,0,v3.0
arch/arm/plat-nomadik,2,0,v3.0
arch/arm/plat-omap,221,0,v3.0
arch/arm/plat-orion,45,0,v3.0
arch/arm/plat-pxa,18,0,v3.0
arch/arm/plat-s3c24xx,65,0,v3.0
arch/arm/plat-s5p,27,0,v3.0
arch/arm/plat-samsung,103,0,v3.0
arch/arm/plat-spear,29,0,v3.0
arch/arm/plat-tcc,8,0,v3.0
arch/arm/plat-versatile,17,0,v3.0
arch/arm/vfp,7,0,v3.0
arch/avr32/boards,14,0,v3.0
arch/avr32/kernel,68,2,v3.0
arch/avr32/lib,5,0,v3.0
arch/avr32/mach-at32ap,49,0,v3.0
arch/avr32/mm,28,0,v3.0
arch/avr32/oprofile,3,0,v3.0
arch/blackfin/kernel,197,5,v3.0
arch/blackfin/lib,3,0,v3.0
arch/blackfin/mach-bf518,8,0,v3.0
arch/blackfin/mach-bf527,17,0,v3.0
arch/blackfin/mach-bf533,9,0,v3.0
arch/blackfin/mach-bf537,18,0,v3.0
arch/blackfin/mach-bf538,3,0,v3.0
arch/blackfin/mach-bf548,4,0,v3.0
arch/blackfin/mach-bf561,17,0,v3.0
arch/blackfin/mach-common,38,0,v3.0
arch/blackfin/mm,26,0,v3.0
arch/blackfin/oprofile,2,0,v3.0
arch/cris/arch-v10,101,2,v3.0
arch/cris/arch-v32,180,2,v3.0
arch/cris/boot,10,2,v3.0
arch/cris/kernel,37,1,v3.0
arch/cris/mm,11,2,v3.0
arch/frv/kernel,108,1,v3.0
arch/frv/lib,4,0,v3.0
arch/frv/mb93090-mb00,22,2,v3.0
arch/frv/mm,36,1,v3.0
arch/h8300/boot,4,2,v3.0
arch/h8300/kernel,60,1,v3.0
arch/h8300/lib,6,0,v3.0
arch/h8300/mm,13,1,v3.0
arch/h8300/platform,14,0,v3.0
arch/ia64/dig,1,0,v3.0
arch/ia64/hp,14,0,v3.0
arch/ia64/kernel,376,3,v3.0
arch/ia64/kvm,210,1,v3.0
arch/ia64/lib,24,0,v3.0
arch/ia64/mm,63,2,v3.0
arch/ia64/oprofile,5,0,v3.0
arch/ia64/pci,19,0,v3.0
arch/ia64/sn,130,0,v3.0
arch/ia64/uv,1,0,v3.0
arch/ia64/xen,35,0,v3.0
arch/m32r/boot,1,0,v3.0
arch/m32r/kernel,74,1,v3.0
arch/m32r/lib,13,0,v3.0
arch/m32r/mm,29,2,v3.0
arch/m32r/oprofile,2,0,v3.0
arch/m32r/platforms,152,0,v3.0
arch/m68k/amiga,19,0,v3.0
arch/m68k/apollo,17,0,v3.0
arch/m68k/atari,49,0,v3.0
arch/m68k/bvme6000,8,0,v3.0
arch/m68k/emu,2,0,v3.0
arch/m68k/hp300,4,0,v3.0
arch/m68k/kernel,146,4,v3.0
arch/m68k/lib,22,4,v3.0
arch/m68k/mac,65,0,v3.0
arch/m68k/math-emu,44,0,v3.0
arch/m68k/mm,30,2,v3.0
arch/m68k/mvme147,10,0,v3.0
arch/m68k/mvme16x,8,0,v3.0
arch/m68k/platform,84,0,v3.0
arch/m68k/q40,9,0,v3.0
