directory,non_static,tested,tag
arch/xtensa/platforms,25,0,v4.15
drivers/accessibility/braille,2,0,v4.15
drivers/acpi/acpica,708,11,v4.15
drivers/acpi/apei,34,0,v4.15
drivers/acpi/arm64,15,0,v4.15
drivers/acpi/dptf,1,0,v4.15
drivers/acpi/nfit,11,7,v4.15
drivers/acpi/pmic,1,0,v4.15
drivers/acpi/x86,2,0,v4.15
drivers/base/power,191,0,v4.15
drivers/base/regmap,85,0,v4.15
drivers/block/aoe,36,0,v4.15
drivers/block/drbd,292,0,v4.15
drivers/block/paride,14,0,v4.15
drivers/block/rsxx,37,0,v4.15
drivers/block/xen-blkback,9,0,v4.15
drivers/block/zram,10,0,v4.15
drivers/char/agp,68,0,v4.15
drivers/char/hw_random,6,0,v4.15
drivers/char/ipmi,46,0,v4.15
drivers/char/mwave,28,0,v4.15
drivers/char/pcmcia,2,0,v4.15
drivers/char/tpm,59,0,v4.15
drivers/char/xilinx_hwicap,9,0,v4.15
drivers/char/xillybus,4,0,v4.15
drivers/clk/at91,2,0,v4.15
drivers/clk/bcm,7,0,v4.15
drivers/clk/berlin,4,0,v4.15
drivers/clk/hisilicon,13,0,v4.15
drivers/clk/imx,20,0,v4.15
drivers/clk/ingenic,7,0,v4.15
drivers/clk/loongson1,3,0,v4.15
drivers/clk/mediatek,12,0,v4.15
drivers/clk/meson,1,0,v4.15
drivers/clk/microchip,5,0,v4.15
drivers/clk/mmp,17,0,v4.15
drivers/clk/mvebu,4,0,v4.15
drivers/clk/mxs,7,0,v4.15
drivers/clk/pistachio,8,0,v4.15
drivers/clk/pxa,13,0,v4.15
drivers/clk/qcom,18,0,v4.15
drivers/clk/renesas,13,0,v4.15
drivers/clk/rockchip,15,0,v4.15
drivers/clk/samsung,22,0,v4.15
drivers/clk/socfpga,6,0,v4.15
drivers/clk/spear,9,0,v4.15
drivers/clk/sunxi,2,0,v4.15
drivers/clk/sunxi-ng,24,0,v4.15
drivers/clk/tegra,64,0,v4.15
drivers/clk/ti,79,0,v4.15
drivers/clk/uniphier,5,0,v4.15
drivers/clk/ux500,11,0,v4.15
drivers/clk/versatile,5,0,v4.15
drivers/clk/x86,1,0,v4.15
drivers/clk/zte,2,0,v4.15
drivers/clk/zynq,2,0,v4.15
drivers/crypto/amcc,26,0,v4.15
drivers/crypto/bcm,57,0,v4.15
drivers/crypto/caam,36,0,v4.15
drivers/crypto/cavium,72,0,v4.15
drivers/crypto/ccp,45,0,v4.15
drivers/crypto/chelsio,7,0,v4.15
drivers/crypto/inside-secure,11,0,v4.15
drivers/crypto/marvell,14,0,v4.15
drivers/crypto/mediatek,4,0,v4.15
drivers/crypto/nx,20,0,v4.15
drivers/crypto/qat,128,0,v4.15
drivers/crypto/qce,10,0,v4.15
drivers/crypto/sunxi-ss,28,0,v4.15
drivers/crypto/ux500,22,0,v4.15
drivers/crypto/virtio,15,0,v4.15
drivers/crypto/vmx,2,0,v4.15
drivers/dma/bestcomm,29,0,v4.15
drivers/dma/dw,5,0,v4.15
drivers/dma/hsu,4,0,v4.15
drivers/dma/ioat,26,0,v4.15
drivers/dma/ipu,5,0,v4.15
drivers/dma/ppc4xx,1,0,v4.15
drivers/dma/qcom,20,0,v4.15
drivers/dma/sh,7,0,v4.15
drivers/dma/xilinx,1,0,v4.15
drivers/firmware/broadcom,6,0,v4.15
drivers/firmware/efi,107,2,v4.15
drivers/firmware/google,7,0,v4.15
drivers/firmware/meson,4,0,v4.15
drivers/firmware/tegra,18,0,v4.15
drivers/gpu/drm,9206,48,v4.15
drivers/gpu/host1x,81,0,v4.15
drivers/gpu/ipu-v3,164,0,v4.15
drivers/gpu/vga,22,0,v4.15
drivers/hid/intel-ish-hid,68,0,v4.15
drivers/hid/usbhid,10,0,v4.15
drivers/hsi/clients,5,0,v4.15
drivers/hsi/controllers,2,0,v4.15
drivers/hwmon/pmbus,14,0,v4.15
drivers/hwtracing/coresight,28,0,v4.15
drivers/hwtracing/intel_th,10,0,v4.15
drivers/hwtracing/stm,13,0,v4.15
drivers/i2c/algos,5,0,v4.15
drivers/i2c/busses,25,0,v4.15
drivers/iio/accel,31,0,v4.15
drivers/iio/adc,17,0,v4.15
drivers/iio/buffer,28,0,v4.15
drivers/iio/common,72,0,v4.15
drivers/iio/dac,2,0,v4.15
drivers/iio/dummy,11,0,v4.15
drivers/iio/gyro,15,0,v4.15
drivers/iio/humidity,5,0,v4.15
drivers/iio/imu,37,0,v4.15
drivers/iio/magnetometer,11,0,v4.15
drivers/iio/pressure,15,0,v4.15
drivers/iio/trigger,2,0,v4.15
drivers/infiniband/core,437,0,v4.15
drivers/infiniband/hw,1769,0,v4.15
drivers/infiniband/sw,183,0,v4.15
drivers/infiniband/ulp,143,0,v4.15
drivers/input/gameport,9,0,v4.15
drivers/input/joystick,11,0,v4.15
drivers/input/keyboard,3,0,v4.15
drivers/input/misc,11,0,v4.15
drivers/input/mouse,76,0,v4.15
drivers/input/rmi4,43,0,v4.15
drivers/input/serio,38,0,v4.15
drivers/input/touchscreen,24,0,v4.15
drivers/isdn/capi,37,0,v4.15
drivers/isdn/divert,10,0,v4.15
drivers/isdn/gigaset,81,0,v4.15
drivers/isdn/hardware,240,2,v4.15
drivers/isdn/hisax,178,0,v4.15
drivers/isdn/hysdn,28,0,v4.15
drivers/isdn/i4l,100,0,v4.15
drivers/isdn/mISDN,133,0,v4.15
drivers/leds/trigger,5,0,v4.15
drivers/macintosh/ams,8,0,v4.15
drivers/md/bcache,146,0,v4.15
drivers/md/persistent-data,110,0,v4.15
drivers/media/cec,36,0,v4.15
drivers/media/common,123,0,v4.15
drivers/media/dvb-core,52,0,v4.15
drivers/media/dvb-frontends,222,0,v4.15
drivers/media/firewire,33,0,v4.15
drivers/media/i2c,75,0,v4.15
drivers/media/pci,885,0,v4.15
drivers/media/platform,1063,0,v4.15
drivers/media/radio,81,0,v4.15
drivers/media/rc,53,0,v4.15
drivers/media/tuners,53,0,v4.15
drivers/media/usb,742,0,v4.15
drivers/media/v4l2-core,292,0,v4.15
drivers/memory/tegra,4,0,v4.15
drivers/memstick/core,14,0,v4.15
drivers/memstick/host,1,0,v4.15
drivers/message/fusion,60,0,v4.15
drivers/misc/altera-stapl,18,0,v4.15
drivers/misc/c2port,2,0,v4.15
drivers/misc/cb710,5,0,v4.15
drivers/misc/cxl,203,0,v4.15
drivers/misc/echo,7,0,v4.15
drivers/misc/eeprom,6,0,v4.15
drivers/misc/genwqe,45,0,v4.15
drivers/misc/ibmasm,33,0,v4.15
drivers/misc/lis3lv02d,7,0,v4.15
drivers/misc/mei,106,0,v4.15
drivers/misc/mic,206,0,v4.15
drivers/misc/sgi-gru,61,0,v4.15
drivers/misc/sgi-xp,43,0,v4.15
drivers/misc/ti-st,22,0,v4.15
drivers/misc/vmw_vmci,90,0,v4.15
drivers/mmc/core,205,16,v4.15
drivers/mmc/host,71,0,v4.15
drivers/mtd/chips,20,0,v4.15
drivers/mtd/devices,1,0,v4.15
drivers/mtd/lpddr,2,0,v4.15
drivers/mtd/maps,4,0,v4.15
drivers/mtd/nand,88,1,v4.15
drivers/mtd/onenand,7,0,v4.15
drivers/mtd/parsers,1,0,v4.15
drivers/mtd/spi-nor,3,0,v4.15
drivers/mtd/tests,5,5,v4.15
drivers/mtd/ubi,112,0,v4.15
drivers/net/appletalk,2,0,v4.15
drivers/net/arcnet,12,0,v4.15
drivers/net/bonding,67,0,v4.15
drivers/net/caif,7,0,v4.15
drivers/net/can,72,0,v4.15
drivers/net/cris,1,0,v4.15
drivers/net/dsa,144,0,v4.15
drivers/net/ethernet,6849,33,v4.15
drivers/net/fddi,145,1,v4.15
drivers/net/fjes,33,0,v4.15
drivers/net/hamradio,6,0,v4.15
drivers/net/hyperv,19,0,v4.15
drivers/net/ipvlan,16,0,v4.15
drivers/net/phy,189,0,v4.15
drivers/net/ppp,15,0,v4.15
drivers/net/slip,6,0,v4.15
drivers/net/team,8,0,v4.15
drivers/net/usb,85,0,v4.15
drivers/net/vmxnet3,10,0,v4.15
drivers/net/wan,45,0,v4.15
drivers/net/wimax,58,0,v4.15
drivers/net/wireless,5608,3,v4.15
drivers/net/xen-netback,44,0,v4.15
drivers/nfc/fdp,3,0,v4.15
drivers/nfc/microread,2,0,v4.15
drivers/nfc/nfcmrvl,11,0,v4.15
drivers/nfc/nxp-nci,6,0,v4.15
drivers/nfc/pn533,6,0,v4.15
drivers/nfc/pn544,2,0,v4.15
drivers/nfc/s3fwrn5,11,0,v4.15
drivers/nfc/st-nci,18,0,v4.15
drivers/nfc/st21nfca,18,0,v4.15
drivers/nfc/st95hf,3,0,v4.15
drivers/ntb/hw,1,0,v4.15
drivers/nvme/host,65,0,v4.15
drivers/nvme/target,47,0,v4.15
drivers/pci/dwc,34,0,v4.15
drivers/pci/endpoint,37,15,v4.15
drivers/pci/host,6,0,v4.15
drivers/pci/hotplug,159,0,v4.15
drivers/pci/pcie,41,0,v4.15
drivers/perf/hisilicon,17,0,v4.15
drivers/phy/allwinner,1,0,v4.15
drivers/phy/broadcom,10,0,v4.15
drivers/phy/qualcomm,12,0,v4.15
drivers/phy/tegra,14,0,v4.15
drivers/phy/ti,4,0,v4.15
drivers/pinctrl/aspeed,14,0,v4.15
drivers/pinctrl/berlin,2,0,v4.15
drivers/pinctrl/freescale,3,0,v4.15
drivers/pinctrl/intel,3,0,v4.15
drivers/pinctrl/mediatek,3,0,v4.15
drivers/pinctrl/meson,4,0,v4.15
drivers/pinctrl/mvebu,7,0,v4.15
drivers/pinctrl/nomadik,7,0,v4.15
drivers/pinctrl/pxa,2,0,v4.15
drivers/pinctrl/qcom,2,0,v4.15
drivers/pinctrl/samsung,6,0,v4.15
drivers/pinctrl/sh-pfc,9,0,v4.15
drivers/pinctrl/spear,3,0,v4.15
drivers/pinctrl/sprd,3,0,v4.15
drivers/pinctrl/stm32,2,0,v4.15
drivers/pinctrl/sunxi,1,0,v4.15
drivers/pinctrl/tegra,3,0,v4.15
drivers/pinctrl/uniphier,1,0,v4.15
drivers/pinctrl/vt8500,1,0,v4.15
drivers/pinctrl/zte,1,0,v4.15
drivers/platform/chrome,20,0,v4.15
drivers/platform/mips,1,0,v4.15
drivers/platform/olpc,2,0,v4.15
drivers/platform/x86,81,0,v4.15
drivers/pnp/isapnp,8,0,v4.15
drivers/pnp/pnpacpi,4,0,v4.15
drivers/pnp/pnpbios,18,0,v4.15
drivers/power/avs,10,0,v4.15
drivers/power/reset,4,0,v4.15
drivers/power/supply,42,3,v4.15
drivers/rapidio/devices,4,0,v4.15
drivers/reset/sti,1,0,v4.15
drivers/reset/tegra,1,0,v4.15
drivers/s390/block,112,0,v4.15
drivers/s390/char,148,0,v4.15
drivers/s390/cio,286,0,v4.15
drivers/s390/crypto,73,0,v4.15
drivers/s390/net,137,0,v4.15
drivers/s390/scsi,105,0,v4.15
drivers/sbus/char,9,0,v4.15
drivers/scsi/aacraid,58,0,v4.15
drivers/scsi/aic7xxx,220,1,v4.15
drivers/scsi/aic94xx,42,0,v4.15
drivers/scsi/arcmsr,7,0,v4.15
drivers/scsi/arm,33,0,v4.15
drivers/scsi/be2iscsi,87,0,v4.15
drivers/scsi/bfa,739,0,v4.15
drivers/scsi/bnx2fc,62,0,v4.15
drivers/scsi/bnx2i,36,0,v4.15
drivers/scsi/csiostor,112,0,v4.15
drivers/scsi/cxgbi,47,0,v4.15
drivers/scsi/cxlflash,25,0,v4.15
drivers/scsi/esas2r,115,0,v4.15
drivers/scsi/fcoe,34,0,v4.15
drivers/scsi/fnic,129,0,v4.15
drivers/scsi/hisi_sas,17,0,v4.15
drivers/scsi/ibmvscsi,4,0,v4.15
drivers/scsi/ibmvscsi_tgt,7,0,v4.15
drivers/scsi/isci,152,0,v4.15
drivers/scsi/libfc,82,0,v4.15
drivers/scsi/libsas,80,0,v4.15
drivers/scsi/lpfc,481,0,v4.15
drivers/scsi/megaraid,90,0,v4.15
drivers/scsi/mpt3sas,107,0,v4.15
drivers/scsi/mvsas,32,0,v4.15
drivers/scsi/osd,49,0,v4.15
drivers/scsi/pcmcia,1,0,v4.15
drivers/scsi/pm8001,60,0,v4.15
drivers/scsi/qedf,63,0,v4.15
drivers/scsi/qedi,49,0,v4.15
drivers/scsi/qla2xxx,535,0,v4.15
drivers/scsi/qla4xxx,186,0,v4.15
drivers/scsi/smartpqi,20,0,v4.15
drivers/scsi/snic,102,0,v4.15
drivers/scsi/sym53c8xx_2,17,0,v4.15
drivers/scsi/ufs,30,0,v4.15
drivers/sh/clk,26,0,v4.15
drivers/sh/intc,26,0,v4.15
drivers/sh/maple,4,0,v4.15
drivers/sh/superhyway,4,0,v4.15
drivers/soc/actions,1,0,v4.15
drivers/soc/amlogic,2,0,v4.15
drivers/soc/atmel,1,0,v4.15
drivers/soc/bcm,5,0,v4.15
drivers/soc/dove,2,0,v4.15
drivers/soc/fsl,107,14,v4.15
drivers/soc/mediatek,2,0,v4.15
drivers/soc/qcom,12,0,v4.15
drivers/soc/renesas,5,0,v4.15
drivers/soc/samsung,4,0,v4.15
drivers/soc/sunxi,2,0,v4.15
drivers/soc/tegra,39,0,v4.15
drivers/soc/ti,20,0,v4.15
drivers/soc/zte,1,0,v4.15
drivers/staging/android,24,0,v4.15
drivers/staging/board,6,0,v4.15
drivers/staging/ccree,51,0,v4.15
drivers/staging/comedi,154,4,v4.15
drivers/staging/dgnc,12,0,v4.15
drivers/staging/fbtft,26,0,v4.15
drivers/staging/fsl-dpaa2,43,0,v4.15
drivers/staging/fsl-mc,128,0,v4.15
drivers/staging/fwserial,7,0,v4.15
drivers/staging/gdm724x,16,0,v4.15
drivers/staging/greybus,200,2,v4.15
drivers/staging/gs_fpgaboot,9,0,v4.15
drivers/staging/iio,11,0,v4.15
drivers/staging/irda,279,0,v4.15
drivers/staging/ks7010,15,0,v4.15
drivers/staging/lustre,1703,25,v4.15
drivers/staging/media,1303,0,v4.15
drivers/staging/most,36,0,v4.15
drivers/staging/netlogic,1,0,v4.15
drivers/staging/nvec,5,0,v4.15
drivers/staging/octeon,25,0,v4.15
drivers/staging/olpc_dcon,1,0,v4.15
drivers/staging/pi433,50,0,v4.15
drivers/staging/rtl8188eu,556,0,v4.15
drivers/staging/rtl8192e,206,0,v4.15
drivers/staging/rtl8192u,206,0,v4.15
drivers/staging/rtl8712,345,0,v4.15
drivers/staging/rtl8723bs,1189,0,v4.15
drivers/staging/rtlwifi,836,0,v4.15
drivers/staging/rts5208,100,0,v4.15
drivers/staging/skein,45,0,v4.15
drivers/staging/sm750fb,57,0,v4.15
drivers/staging/speakup,78,0,v4.15
drivers/staging/unisys,35,0,v4.15
drivers/staging/vboxvideo,54,0,v4.15
drivers/staging/vc04_services,174,0,v4.15
drivers/staging/vt6655,79,0,v4.15
drivers/staging/vt6656,71,0,v4.15
drivers/staging/wilc1000,87,0,v4.15
drivers/staging/wlan-ng,66,0,v4.15
drivers/staging/xgifb,11,0,v4.15
drivers/target/iscsi,261,0,v4.15
drivers/target/tcm_fc,22,0,v4.15
drivers/tee/optee,17,0,v4.15
drivers/thermal/int340x_thermal,7,0,v4.15
drivers/thermal/qcom,4,0,v4.15
drivers/thermal/st,2,0,v4.15
drivers/thermal/tegra,2,0,v4.15
drivers/thermal/ti-soc-thermal,15,0,v4.15
drivers/tty/hvc,29,0,v4.15
drivers/tty/ipwireless,28,0,v4.15
drivers/tty/serdev,21,0,v4.15
drivers/tty/serial,122,0,v4.15
drivers/tty/vt,101,0,v4.15
drivers/usb/atm,2,0,v4.15
drivers/usb/c67x00,29,0,v4.15
drivers/usb/chipidea,33,0,v4.15
drivers/usb/class,1,0,v4.15
drivers/usb/common,16,1,v4.15
drivers/usb/core,216,7,v4.15
drivers/usb/dwc2,76,0,v4.15
drivers/usb/dwc3,28,0,v4.15
drivers/usb/early,6,0,v4.15
drivers/usb/gadget,240,0,v4.15
drivers/usb/host,237,0,v4.15
drivers/usb/isp1760,9,0,v4.15
drivers/usb/misc,30,0,v4.15
drivers/usb/mon,11,0,v4.15
drivers/usb/mtu3,42,0,v4.15
drivers/usb/musb,55,0,v4.15
drivers/usb/phy,52,0,v4.15
drivers/usb/renesas_usbhs,66,0,v4.15
drivers/usb/serial,47,0,v4.15
drivers/usb/storage,43,0,v4.15
drivers/usb/typec,33,0,v4.15
drivers/usb/usbip,45,0,v4.15
drivers/usb/wusbcore,66,0,v4.15
drivers/uwb/i1480,6,0,v4.15
drivers/vfio/mdev,21,0,v4.15
drivers/vfio/pci,12,0,v4.15
drivers/vfio/platform,7,0,v4.15
drivers/video/backlight,28,0,v4.15
drivers/video/console,10,0,v4.15
drivers/video/fbdev,868,0,v4.15
drivers/video/logo,1,0,v4.15
drivers/w1/slaves,8,0,v4.15
drivers/xen/events,46,0,v4.15
drivers/xen/xen-pciback,25,0,v4.15
drivers/xen/xenbus,60,0,v4.15
fs/btrfs/tests,14,13,v4.15
fs/nfs/blocklayout,11,0,v4.15
fs/nfs/filelayout,8,0,v4.15
fs/nfs/flexfilelayout,13,0,v4.15
fs/notify/dnotify,2,0,v4.15
fs/notify/fanotify,1,0,v4.15
fs/notify/inotify,2,0,v4.15
fs/ocfs2/cluster,56,0,v4.15
fs/ocfs2/dlm,113,0,v4.15
fs/ocfs2/dlmfs,9,0,v4.15
fs/xfs/libxfs,717,0,v4.15
fs/xfs/scrub,114,0,v4.15
kernel/debug/kdb,51,0,v4.15
lib/raid6/test,1,0,v4.15
net/bluetooth/bnep,7,0,v4.15
net/bluetooth/cmtp,9,0,v4.15
net/bluetooth/hidp,6,0,v4.15
net/bluetooth/rfcomm,20,0,v4.15
net/bridge/netfilter,3,0,v4.15
net/ceph/crush,19,0,v4.15
net/dccp/ccids,22,0,v4.15
net/ieee802154/6lowpan,9,0,v4.15
net/ipv4/netfilter,25,0,v4.15
net/ipv6/ila,6,0,v4.15
net/ipv6/netfilter,25,0,v4.15
net/netfilter/ipset,21,0,v4.15
net/netfilter/ipvs,98,0,v4.15
net/nfc/hci,39,0,v4.15
net/nfc/nci,49,0,v4.15
net/sunrpc/auth_gss,57,0,v4.15
net/sunrpc/xprtrdma,72,0,v4.15
samples/mic/mpssd,4,0,v4.15
scripts/dtc/libfdt,73,0,v4.15
scripts/kconfig/lxdialog,34,0,v4.15
scripts/selinux/genheaders,1,0,v4.15
scripts/selinux/mdp,1,0,v4.15
security/integrity/evm,17,0,v4.15
security/integrity/ima,68,0,v4.15
security/keys/encrypted-keys,4,0,v4.15
security/selinux/ss,132,0,v4.15
sound/aoa/core,10,0,v4.15
sound/aoa/soundbus,19,0,v4.15
sound/core/oss,25,0,v4.15
sound/core/seq,186,0,v4.15
sound/drivers/mpu401,3,0,v4.15
sound/drivers/opl3,31,0,v4.15
sound/drivers/opl4,16,0,v4.15
sound/drivers/pcsp,7,0,v4.15
sound/drivers/vx,27,0,v4.15
sound/firewire/bebob,24,0,v4.15
sound/firewire/dice,20,0,v4.15
sound/firewire/digi00x,25,0,v4.15
sound/firewire/fireface,18,0,v4.15
sound/firewire/fireworks,27,0,v4.15
sound/firewire/motu,20,0,v4.15
sound/firewire/oxfw,21,0,v4.15
sound/firewire/tascam,21,0,v4.15
sound/hda/ext,37,0,v4.15
sound/i2c/other,28,0,v4.15
sound/isa/ad1816a,6,0,v4.15
sound/isa/cs423x,3,0,v4.15
sound/isa/es1688,5,0,v4.15
sound/isa/gus,52,0,v4.15
sound/isa/msnd,15,0,v4.15
sound/isa/opti9xx,2,0,v4.15
sound/isa/sb,36,0,v4.15
sound/isa/wavefront,16,0,v4.15
sound/isa/wss,20,0,v4.15
sound/oss/dmasound,2,0,v4.15
sound/pci/ac97,23,0,v4.15
sound/pci/asihpi,239,0,v4.15
sound/pci/aw2,15,0,v4.15
sound/pci/ca0106,9,0,v4.15
sound/pci/cs46xx,57,0,v4.15
sound/pci/cs5535audio,6,0,v4.15
sound/pci/ctxfi,42,0,v4.15
sound/pci/emu10k1,70,0,v4.15
sound/pci/hda,168,0,v4.15
sound/pci/ice1712,21,0,v4.15
sound/pci/lola,24,0,v4.15
sound/pci/lx6464es,32,0,v4.15
sound/pci/mixart,15,0,v4.15
sound/pci/oxygen,52,0,v4.15
sound/pci/pcxhr,31,0,v4.15
sound/pci/trident,12,0,v4.15
sound/pci/ymfpci,8,0,v4.15
sound/pcmcia/pdaudiocf,9,0,v4.15
sound/pcmcia/vx,3,0,v4.15
sound/soc/atmel,10,0,v4.15
sound/soc/bcm,3,0,v4.15
sound/soc/blackfin,37,0,v4.15
sound/soc/cirrus,1,0,v4.15
sound/soc/codecs,159,0,v4.15
sound/soc/davinci,1,0,v4.15
sound/soc/dwc,3,0,v4.15
sound/soc/fsl,12,0,v4.15
sound/soc/generic,16,0,v4.15
sound/soc/intel,335,0,v4.15
sound/soc/mediatek,20,0,v4.15
sound/soc/mxs,3,0,v4.15
sound/soc/omap,20,0,v4.15
sound/soc/qcom,4,0,v4.15
sound/soc/samsung,11,0,v4.15
sound/soc/sh,78,0,v4.15
sound/soc/spear,1,0,v4.15
sound/soc/sti,10,0,v4.15
sound/soc/tegra,22,0,v4.15
sound/soc/ux500,9,0,v4.15
sound/synth/emux,52,0,v4.15
sound/usb/6fire,13,0,v4.15
sound/usb/caiaq,13,0,v4.15
sound/usb/hiface,2,0,v4.15
sound/usb/line6,37,0,v4.15
sound/usb/usx2y,9,0,v4.15
tools/bpf/bpftool,49,0,v4.15
tools/build/feature,48,0,v4.15
tools/build/tests,8,6,v4.15
tools/laptop/dslm,1,0,v4.15
tools/laptop/freefall,1,0,v4.15
tools/lib/api,27,4,v4.15
tools/lib/bpf,58,24,v4.15
tools/lib/lockdep,26,2,v4.15
tools/lib/subcmd,34,2,v4.15
tools/lib/symbol,2,0,v4.15
tools/lib/traceevent,145,0,v4.15
tools/objtool/arch,17,2,v4.15
tools/perf/arch,66,2,v4.15
tools/perf/bench,10,0,v4.15
tools/perf/jvmti,6,0,v4.15
tools/perf/pmu-events,13,1,v4.15
tools/perf/scripts,1,0,v4.15
tools/perf/tests,75,4,v4.15
tools/perf/trace,15,0,v4.15
tools/perf/ui,109,0,v4.15
tools/perf/util,1276,144,v4.15
tools/power/acpi,70,2,v4.15
tools/power/cpupower,121,0,v4.15
tools/power/x86,156,2,v4.15
tools/testing/nvdimm,24,4,v4.15
tools/testing/radix-tree,62,21,v4.15
tools/testing/scatterlist,1,0,v4.15
tools/testing/selftests,759,129,v4.15
tools/testing/vsock,10,5,v4.15
tools/thermal/tmon,27,1,v4.15
tools/usb/ffs-aio-example,10,0,v4.15
tools/usb/usbip,60,0,v4.15
tools/virtio/ringtest,60,0,v4.15
tools/virtio/virtio-trace,6,0,v4.15
virt/kvm/arm,267,0,v4.15
arch/alpha/boot/tools,2,0,v4.15
arch/arm/boot/compressed,17,9,v4.15
arch/arm/kvm/hyp,11,0,v4.15
arch/arm/mach-imx/devices,29,0,v4.15
arch/arm/probes/kprobes,38,3,v4.15
arch/arm/probes/uprobes,18,0,v4.15
arch/arm64/kernel/probes,36,0,v4.15
arch/arm64/kernel/vdso,4,0,v4.15
arch/arm64/kvm/hyp,19,0,v4.15
arch/blackfin/kernel/cplb-mpu,5,0,v4.15
arch/blackfin/kernel/cplb-nompu,3,0,v4.15
arch/blackfin/mach-bf518/boards,6,0,v4.15
arch/blackfin/mach-bf527/boards,15,0,v4.15
arch/blackfin/mach-bf533/boards,7,0,v4.15
arch/blackfin/mach-bf537/boards,15,0,v4.15
arch/blackfin/mach-bf538/boards,1,0,v4.15
arch/blackfin/mach-bf548/boards,2,0,v4.15
arch/blackfin/mach-bf561/boards,4,0,v4.15
arch/blackfin/mach-bf609/boards,4,0,v4.15
arch/cris/arch-v10/drivers,14,0,v4.15
arch/cris/arch-v10/kernel,52,0,v4.15
arch/cris/arch-v10/lib,5,2,v4.15
arch/cris/arch-v10/mm,9,0,v4.15
arch/cris/arch-v32/drivers,15,0,v4.15
arch/cris/arch-v32/kernel,59,0,v4.15
arch/cris/arch-v32/lib,6,2,v4.15
arch/cris/arch-v32/mach-a3,13,0,v4.15
arch/cris/arch-v32/mach-fs,11,0,v4.15
arch/cris/arch-v32/mm,12,0,v4.15
arch/cris/boot/compressed,4,2,v4.15
arch/cris/boot/tools,6,1,v4.15
arch/h8300/boot/compressed,3,2,v4.15
arch/ia64/hp/common,5,0,v4.15
arch/ia64/hp/sim,9,0,v4.15
arch/ia64/sn/kernel,93,0,v4.15
arch/ia64/sn/pci,35,0,v4.15
arch/ia64/uv/kernel,1,0,v4.15
arch/m32r/boot/compressed,3,2,v4.15
arch/m32r/platforms/m32104ut,19,0,v4.15
arch/m32r/platforms/m32700ut,19,0,v4.15
arch/m32r/platforms/mappi,19,0,v4.15
arch/m32r/platforms/mappi2,19,0,v4.15
arch/m32r/platforms/mappi3,19,0,v4.15
arch/m32r/platforms/oaks32r,19,0,v4.15
arch/m32r/platforms/opsput,19,0,v4.15
arch/m32r/platforms/usrv,19,0,v4.15
arch/m68k/sun3/prom,13,0,v4.15
arch/m68k/tools/amiga,1,0,v4.15
arch/metag/kernel/perf,4,0,v4.15
arch/microblaze/kernel/cpu,7,0,v4.15
arch/mips/alchemy/common,38,0,v4.15
arch/mips/alchemy/devboards,21,0,v4.15
arch/mips/bcm63xx/boards,5,0,v4.15
arch/mips/boot/compressed,14,3,v4.15
arch/mips/boot/tools,3,1,v4.15
arch/mips/cavium-octeon/crypto,2,0,v4.15
arch/mips/cavium-octeon/executive,126,0,v4.15
arch/mips/dec/prom,8,0,v4.15
arch/mips/emma/common,3,0,v4.15
arch/mips/emma/markeins,11,0,v4.15
arch/mips/fw/arc,43,0,v4.15
arch/mips/fw/cfe,22,0,v4.15
arch/mips/fw/lib,4,0,v4.15
arch/mips/fw/sni,6,0,v4.15
arch/mips/lantiq/falcon,6,0,v4.15
arch/mips/lantiq/xway,32,0,v4.15
arch/mips/loongson32/common,15,0,v4.15
arch/mips/loongson64/common,46,0,v4.15
arch/mips/loongson64/fuloong-2e,4,0,v4.15
arch/mips/loongson64/lemote-2f,22,0,v4.15
arch/mips/loongson64/loongson-3,20,0,v4.15
arch/mips/netlogic/common,19,0,v4.15
arch/mips/netlogic/xlp,19,0,v4.15
arch/mips/netlogic/xlr,12,0,v4.15
arch/mips/pic32/common,1,0,v4.15
arch/mips/pic32/pic32mzda,20,0,v4.15
arch/mips/pnx833x/common,11,0,v4.15
arch/mips/pnx833x/stb22x,3,0,v4.15
arch/mips/sibyte/bcm1480,9,0,v4.15
arch/mips/sibyte/common,5,0,v4.15
arch/mips/sibyte/sb1250,10,0,v4.15
arch/mips/sibyte/swarm,12,0,v4.15
arch/mips/txx9/generic,81,0,v4.15
arch/mips/txx9/jmr3927,2,0,v4.15
arch/mips/txx9/rbtx4927,2,0,v4.15
arch/mips/txx9/rbtx4938,2,0,v4.15
arch/mips/txx9/rbtx4939,2,0,v4.15
arch/mips/vr41xx/common,35,0,v4.15
arch/mn10300/boot/compressed,4,0,v4.15
arch/mn10300/boot/tools,4,1,v4.15
arch/nios2/boot/compressed,3,2,v4.15
arch/parisc/boot/compressed,12,10,v4.15
arch/powerpc/kernel/trace,13,0,v4.15
arch/powerpc/oprofile/cell,11,0,v4.15
arch/powerpc/platforms/44x,5,0,v4.15
arch/powerpc/platforms/4xx,7,0,v4.15
arch/powerpc/platforms/512x,13,0,v4.15
arch/powerpc/platforms/52xx,25,0,v4.15
arch/powerpc/platforms/82xx,3,0,v4.15
arch/powerpc/platforms/83xx,12,0,v4.15
arch/powerpc/platforms/85xx,29,0,v4.15
arch/powerpc/platforms/86xx,9,0,v4.15
arch/powerpc/platforms/8xx,8,0,v4.15
arch/powerpc/platforms/amigaone,4,0,v4.15
arch/powerpc/platforms/cell,114,0,v4.15
